,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,761030,EARTHLOCK,Snowcastle Games,Snowcastle Games,n/a,"0 .. 20,000","['Adventure', 'Indie', 'RPG', 'Strategy']","['RPG', 'Adventure', 'Strategy', 'Indie', 'Turn-Based Combat', 'JRPG', 'Turn-Based', 'Fantasy', 'Singleplayer', 'Exploration', 'Story Rich', 'Party-Based RPG', 'Atmospheric', 'Great Soundtrack', 'Retro', 'Turn-Based Strategy', 'Strategy RPG', 'Classic', 'Agriculture', 'Farming']",$29.99 
1,761040,Wolf Gang,Nylon Blonde,Nylon Blonde,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy', 'Early Access']","['Strategy', 'Indie', 'RPG', 'Early Access']",$3.99 
2,761070,Garden of Oblivion,Träumendes Mädchen,Träumendes Mädchen,n/a,"20,000 .. 50,000","['Casual', 'Free to Play', 'Indie']","['Free to Play', 'Casual', 'Indie', 'Visual Novel', 'Horror', 'Psychological Horror', 'Female Protagonist', 'Point & Click']",$0.00 
3,761080,Battle Splash 2.0 Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
4,761090,Curre,ButterSword Studio,ButterSword Studio,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",n/a,$0.00 
5,761100,Jump! Jump! Jump!,XiNFiNiTY Games,Narko Games,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Indie', 'Action', 'Casual', 'Runner', 'Atmospheric', 'Arcade', 'Minimalist', 'Singleplayer', '2D']",$0.99 
6,761110,Infinity Escape,XiNFiNiTY Games,Rad Zone,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Indie', 'Action', 'Casual', 'Space', 'Arcade', 'Minimalist', 'Singleplayer', 'Sci-fi', 'Atmospheric', 'Runner']",$0.99 
7,761130,Stellar Warrior,XiNFiNiTY Games,Freestewdios,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Action', 'Casual', 'Indie']",$1.99 
8,761140,Lost Summoner Kitty,Kotoshiro,Kotoshiro,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",n/a,$4.99 
9,761150,Brick Breaker Bunch,Tapio Holopainen,Funky Monk Games,n/a,"0 .. 20,000","['Casual', 'Indie']","['Casual', 'Indie', 'Great Soundtrack', 'Cyberpunk', 'Co-op', 'Pixel Graphics']",$1.99 
10,761160,4 Alice : Lorange Journey [Second Edition],Mia Blais-Côté,Mia Blais-Côté,n/a,"0 .. 20,000","['Casual', 'Indie', 'Simulation']","['Casual', 'Simulation', 'Indie', 'Short', 'Female Protagonist', 'Text-Based', 'Adventure', 'Multiple Endings', 'Psychological Horror', 'Singleplayer', 'Mystery', 'Story Rich', 'Interactive Fiction']",$0.99 
11,761170,Radical Dungeon Sweeper,Benjamin Soulé,Benjamin Soulé,n/a,"0 .. 20,000","['Casual', 'Indie', 'RPG', 'Strategy']","['Casual', 'Indie', 'Strategy', 'RPG']",$12.99 
12,761190,1010,WalkBoy Studio,WalkBoy Studio,n/a,"0 .. 20,000","['Indie', 'Simulation', 'Strategy']","['Indie', 'Strategy', 'Simulation']",$0.99 
13,761210,Frontiers.io - Expansion Pack 5,Boogygames Studios,,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports', 'Strategy']",n/a,$0.99 
14,761220,Live the Guitar,Live the VR,Live the VR,n/a,"0 .. 20,000",['Indie'],"['Indie', 'VR', 'VR Only']",$9.99 
15,761230,Super Meat Shooter - Artworks,Drop_Dead_Fred (Фред),Coconut Tree Studio,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']",n/a,$0.99 
16,761231,Super Meat Shooter - Happy Meat Winter,Drop_Dead_Fred (Фред),Coconut Tree Studio,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Adventure', 'Action', 'Indie']",$1.99 
17,761240,Bomsy Demo,SUPERMEGAQUEST INC.,SUPERMEGAQUEST INC.,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Indie', 'Action', 'Casual']",$0.00 
18,761250,Achievement Clicker - Coal Edition,OfficialAndy,MGG Studio,n/a,"0 .. 20,000","['Indie', 'Simulation']","['Indie', 'Simulation']",$0.99 
19,761270,iTowngameplay Universe Pack de Materiales,UnderMax Games,,n/a,"0 .. 20,000","['Adventure', 'Free to Play', 'Indie', 'RPG']",n/a,$0.99 
20,761280,White Pearl,Harry Gill,Harry Gill,n/a,"20,000 .. 50,000","['Action', 'Adventure', 'Free to Play', 'Indie', 'RPG']","['Free to Play', 'Indie', 'RPG', 'Adventure', 'Action', 'RPGMaker', 'Story Rich', 'Turn-Based Combat', 'Funny', 'Classic']",$0.00 
21,761290,Sink or Skim,Seth Johnson,Seth Johnson,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']","['Indie', 'Adventure', 'Casual', 'Difficult', 'Singleplayer', 'Atmospheric']",$0.00 
22,761300,Horde Of Plenty,"SMONCH, LLC","SMONCH, LLC",n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'in Early Access']","['Bullet Hell', 'Twin Stick Shooter', 'Top-Down Shooter', ""Shoot 'Em Up"", 'Shooter', 'Arcade', '3D', 'Top-Down', 'Adventure', 'Action', 'Fantasy', 'Combat', 'Singleplayer', 'Indie', 'Soundtrack', 'Controller', 'Early Access']",$14.99 
23,761320,Black Jewel,Oscar Celestini,Forever Entertainment S. A.,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie']","['Action', 'Adventure', 'Indie', 'Casual', 'Retro', 'Pixel Graphics', '2D']",$1.99 
24,761350,Booth: A Dystopian Adventure,Guanpeng Chen,Guanpeng Chen,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation']","['Dystopian ', 'Story Rich', 'Atmospheric', 'Adventure', 'Simulation', 'Pixel Graphics', 'Multiple Endings', 'Mystery', 'Choices Matter', 'Management', 'Conspiracy', 'Point & Click', 'Sci-fi', 'Political Sim', 'Life Sim', 'Immersive Sim', 'Retro', 'Indie', 'Survival', '2D']",$9.99 
25,761400,Reformers Demo,TXBD·PKX·LF·GXM·JBO,RMking,n/a,"0 .. 20,000",['RPG'],"['RPG', 'RPGMaker', 'Adventure', 'Turn-Based', 'Anime', 'Puzzle', 'Hand-drawn', '2D', 'Local Multiplayer', 'Retro', 'Indie', 'Story Rich', 'Casual', 'Atmospheric', 'Cute', 'Rogue-lite', 'Difficult']",$0.00 
26,761440,Santa Run,"Nikita ""Ghost_RUS""",Ghost_RUS Games,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']","['Indie', 'Adventure', 'Casual']",$0.99 
27,761450,Huge Beer Pong Challenges VR,Damien Lee Gilliams,Damos Designs,n/a,"0 .. 20,000","['Casual', 'Indie', 'Strategy', 'in Early Access']",n/a,$4.99 
28,761460,Lamplight City,Grundislav Games,Application Systems Heidelberg,72%,"0 .. 20,000","['Adventure', 'Indie']","['Adventure', 'Detective', 'Point & Click', 'Alternate History', 'Indie', 'Retro', 'Third Person', 'Singleplayer', 'Story Rich', '2D', 'Mystery', 'Pixel Graphics', 'Hand-drawn', 'Great Soundtrack', 'Noir', 'Atmospheric', 'Puzzle', 'Classic', 'Dark', 'Gothic']",$14.99 
29,761480,Snail Trek - Chapter 3: Lettuce Be,Phil Fortier,Phil Fortier,n/a,"0 .. 20,000","['Adventure', 'Indie']","['Adventure', 'Indie', 'Retro', 'Puzzle', 'Space', 'Point & Click', '2D', 'Pixel Graphics']",$0.99 
30,761530,Willowisp VR Demo,Will Petillo,Will Petillo,n/a,"0 .. 20,000",['Indie'],"['Early Access', 'Indie', 'Action', 'VR']",$0.00 
31,761560,APEX Tournament Demo,APEX Tournament,Fantom Fathom LLC,n/a,"0 .. 20,000","['Action', 'Indie']","['Early Access', 'Action', 'Indie', 'VR']",$0.00 
32,761570,Beard & Axe,Dwarfaparte,Dwarfaparte,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Adventure', 'Action', 'Indie', '2D', 'Pixel Graphics', 'Difficult', 'Rogue-lite', 'Retro', 'Top-Down', 'Fantasy', 'Perma Death']",$9.99 
33,761590,Monster Hunter: World - Gesture: Air Splits,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$1.99 
34,761591,Monster Hunter: World - Gesture: Feverish Dance,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$3.99 
35,761592,Monster Hunter: World - Gesture: Gallivanting Dance,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$3.99 
36,761593,Monster Hunter: World - Gesture: Interpretive Dance,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$3.99 
37,761594,Monster Hunter: World - Gesture: Play Possum,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$1.99 
38,761595,Monster Hunter: World - Gesture: Kowtow,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$1.99 
39,761596,Monster Hunter: World - Gesture: Sleep,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",n/a,"0 .. 20,000",['Action'],['Action'],$1.99 
40,761597,Monster Hunter: World - Gesture: Kneel,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",90%,"0 .. 20,000",['Action'],['Action'],$1.99 
41,761600,Onimusha: Warlords,"CAPCOM CO., LTD","CAPCOM CO., LTD",n/a,"20,000 .. 50,000",['Action'],"['Action', 'Violent', 'Hack and Slash', 'Singleplayer', 'Classic', 'Ninja', 'Survival Horror', 'Third Person', 'Anime', 'Dark Fantasy', 'Atmospheric', 'Horror', 'Souls-like', 'Demons']",$19.99 
42,761620,Beholder 2,Warm Lamp Games,Alawar Premium,76%,"100,000 .. 200,000","['Adventure', 'Indie', 'Simulation', 'Strategy']","['Strategy', 'Dystopian ', 'Simulation', 'Choices Matter', 'Political Sim', 'Story Rich', 'Singleplayer', 'Atmospheric', 'Political', 'Multiple Endings', 'Dark', 'Addictive', 'Point & Click', 'Politics', '2D', 'Lore-Rich', 'Adventure', 'Indie', 'Violent', 'Psychological Horror']",$14.99 
43,761630,akda,Snkl Studio,Snkl Studio,n/a,"0 .. 20,000","['Casual', 'Indie']","['Puzzle', '2D', 'Minimalist', 'Physics', 'Experimental', 'Side Scroller', 'Casual', 'Indie', 'Singleplayer', 'Short', 'Family Friendly', 'Logic', 'Fast-Paced', 'Difficult', 'Precision Platformer', 'Point & Click', 'Relaxing', 'Female Protagonist', 'Psychological Horror']",$0.99 
44,761640,Home Darkness - Escape?,Starodymov,OtakuMaker SARL,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie']","['Adventure', 'Casual', 'Indie', 'Action', 'Puzzle', 'Singleplayer', '2D', 'Horror', 'Dark', 'Atmospheric']",$0.00 
45,761660,Stickman Destruction 2,Starodymov,Latent Studios,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Simulation']","['Action', 'Simulation', 'Casual', 'Indie', 'Arcade', 'Minimalist', 'Singleplayer', '2D', 'Difficult']",$0.99 
46,761670,Grisaia Phantom Trigger Vol.4,Frontwing,Frontwing USA,n/a,"0 .. 20,000","['Adventure', 'Casual']","['Casual', 'Adventure', 'Anime', 'Visual Novel', 'Cute']",$14.99 
47,761680,Broken Reality Demo,Dynamic Media Triad,Digital Tribe,n/a,"0 .. 20,000","['Adventure', 'Indie']","['Indie', 'Adventure', 'Surreal', 'Walking Simulator', 'Memes', 'Singleplayer', 'Great Soundtrack', 'Retro', 'Exploration', 'Puzzle', 'First-Person', 'Colorful']",$0.00 
