,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,554320,Man O' War: Corsair - Fledgling Griffon,Evil Twin Artworks,,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Strategy']","['Strategy', 'Adventure', 'Action', 'Indie']",$2.99 
1,554321,Man O' War: Corsair - Reik's Fashion,Evil Twin Artworks,,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Strategy']","['Action', 'Indie', 'Strategy', 'Adventure']",$2.99 
2,554330,Choppa,Parta Games Oy,Parta Games Oy,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Casual', 'Indie', 'Action']",$0.99 
3,554340,The Little Acre - Digital Art Book,Pewter Games Studios,Curve Digital,n/a,"0 .. 20,000","['Adventure', 'Indie']","['Indie', 'Adventure']",$0.00 
4,554350,Stellaris: Horizon Signal,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
5,554360,Delicious Emily's Christmas Carol - Soundtrack,Blue Giraffe,GameHouse,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']","['Adventure', 'Casual', 'Indie']",$2.99 
6,554370,Wars Across the World: Waterloo 1815,Strategiae,Plug In Digital,n/a,"0 .. 20,000","['Indie', 'Strategy']",n/a,$4.99 
7,554371,Wars Across the World: Carrhae 53,Strategiae,Plug In Digital,n/a,"0 .. 20,000","['Indie', 'Strategy']",n/a,$4.99 
8,554380,Dead by Daylight - The Bloodstained Sack,Behaviour Digital Inc.,Starbreeze Studios,n/a,"0 .. 20,000","['Violent', 'Action']","['Violent', 'Action', 'Horror', 'Survival Horror']",$2.99 
9,554381,Dead by Daylight - Of Flesh and Mud Chapter,Behaviour Digital Inc.,Starbreeze Studios,n/a,"0 .. 20,000","['Violent', 'Action']","['Action', 'Violent', 'Gore', 'Horror', 'Survival Horror']",$6.99 
10,554390,How To Survive 2 - Dead Dynamite,Eko Software,505 Games,n/a,"0 .. 20,000","['Violent', 'Gore', 'Action', 'Adventure', 'RPG']","['Adventure', 'Gore', 'Action', 'RPG', 'Violent']",$3.99 
11,554470,BladeShield,Rank17,Rank17,n/a,"0 .. 20,000","['Action', 'Casual']","['Casual', 'Action', 'VR']",$2.99 
12,554480,Fantasy Grounds - 1 on 1 Adventures #10: Vengeance of Olindor (3.5E),"SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$5.99 
13,554500,Fantasy Grounds - Mini-Dungeon #015: Torment at Torni Tower (5E),"SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$2.99 
14,554530,CRACKHEAD,,Displacement Studios,n/a,"100,000 .. 200,000","['Violent', 'Action', 'Casual', 'Indie']","['Casual', 'Indie', 'Action', 'Violent', 'Great Soundtrack', 'Colorful', 'Isometric', 'Funny', 'Arcade']",$0.99 
15,554540,Fantasy Grounds - Beasts & Barbarians Golden Edition (Savage Worlds),"SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$24.99 
16,554550,A Haunting : Witching Hour,Enyx Studios,Enyx Studios,n/a,"0 .. 20,000","['Violent', 'Gore', 'Adventure', 'Indie', 'Early Access']","['Indie', 'Violent', 'Adventure', 'Early Access', 'Gore', 'Horror']",$4.99 
17,554560,Amaranthine Voyage: The Tree of Life Collector's Edition,Eipix Entertainment,Big Fish Games,n/a,"0 .. 20,000","['Adventure', 'Casual']","['Casual', 'Adventure', 'Hidden Object']",$9.99 
18,554570,Witanlore: Dreamtime,Druid Gameworks Studio LLC,Druid Gameworks Studio LLC,n/a,"0 .. 20,000","['Adventure', 'Indie', 'RPG', 'Early Access']","['Adventure', 'Indie', 'RPG', 'Early Access']",$0.99 
19,554590,Little Kingdom 2,Andreil Game,Andreil Game,n/a,"0 .. 20,000",['Strategy'],['Strategy'],$7.99 
20,554600,Learn Japanese To Survive! Katakana War,Sleepy Duck,RIVER CROW STUDIO,n/a,"20,000 .. 50,000","['Adventure', 'Indie', 'RPG', 'Strategy']","['RPG', 'Indie', 'Adventure', 'Strategy', 'Education', 'Anime', 'RPGMaker', 'Visual Novel', 'JRPG', 'Singleplayer']",$6.99 
21,554610,Ultramegon,Blackturn ltd,Blackturn ltd,n/a,"0 .. 20,000","['Action', 'Casual', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",n/a,$0.00 
