,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,1295723,Dragon Age™ II - Legacy,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
1,1295724,Dragon Age™ II - Promotional Pack,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
2,1295725,Dragon Age™ II - High Resolution Texture Pack,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
3,1295726,Dragon Age™ II - Signature Edition Rewards,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
4,1295727,Dragon Age™ II - Soundtrack,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
5,1295740,Mine Dungeon2 ~Rurumu's trip~,celusis,CelLab,n/a,"0 .. 20,000","['Action', 'Indie']","['Action', 'Puzzle', 'Anime', 'Singleplayer', 'Indie', 'Cute']",$9.99 
6,1295750,Jack Hayes: The Lazarus Sign,Stefan Ortelbach,Iphigenia Games,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie', 'RPG']","['Casual', 'Investigation', 'Interactive Fiction', 'RPG', '2D', 'Noir', 'Multiple Endings', 'Romance', 'Funny', 'Detective', 'Story Rich', 'Dark Humor', 'Pixel Graphics', 'Emotional', 'Psychological', 'Atmospheric', 'Retro', 'Singleplayer', 'Soundtrack', 'Indie']",$5.99 
7,1295760,Moonfall,Zak Amana,Zak Amana,n/a,"0 .. 20,000",['Indie'],"['Indie', 'Rogue-lite', 'Tactical RPG', 'Turn-Based', 'Short']",$4.99 
8,1295770,Jack Hayes: The Lazarus Sign Demo,Iphigenia Games by Stefan Ortelbach,Iphigenia Games by Stefan Ortelbach,n/a,"0 .. 20,000","['Adventure', 'Indie', 'RPG']",n/a,$0.00 
9,1295780,Car Trader Simulator Demo,Live Motion Games,Live Motion Games,n/a,"0 .. 20,000",['Simulation'],n/a,$0.00 
10,1295800,PC Building Simulator - Overclockers UK Workshop,Claudiu Kiss,The Irregular Corporation,n/a,"0 .. 20,000","['Indie', 'Simulation']",n/a,$5.99 
11,1295810,A Little Shop in Squirrel Town,凌绮梦,凌绮梦,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",n/a,$0.00 
12,1295830,Colt Canyon Soundtrack,Retrific,Headup,n/a,"0 .. 20,000","['Action', 'Indie']",n/a,$4.99 
13,1295860,Rip Them Off,Lozange Lab,Lozange Lab,n/a,"0 .. 20,000","['Casual', 'Indie', 'Simulation', 'Strategy']","['Lemmings', 'Funny', 'Stylized', 'Satire', 'Capitalism', 'Economy', 'Tower Defense', 'Puzzle', 'Minimalist', 'Strategy', 'Logic', 'Management', 'Automation', 'Simulation', 'Abstract', 'Singleplayer', 'Building', '2D', 'Relaxing', 'Casual']",$8.99 
14,1295880,Core Awaken ~The Yuka~ Soundtrack,Celusis,CelLab,n/a,"0 .. 20,000","['Action', 'Indie']",n/a,$6.29 
15,1295890,Core Awaken ~Jilelen and LittleSnow~ Soundtrack,celusis,CelLab,n/a,"0 .. 20,000","['Action', 'Indie']",n/a,$0.00 
16,1295900,Draconia,Draconia Dev Team,Draconia Dev Team,n/a,"0 .. 20,000","['Indie', 'RPG', 'Simulation']",n/a,$0.00 
17,1295910,The Ninth Way,PixelsDesign VR Developers,PixelsDesign VR Developers,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Strategy', 'Early Access']","['Strategy', 'Adventure', 'Action', 'Indie', 'Early Access', 'VR', 'Magic', 'Story Rich', 'Action-Adventure']",$9.99 
18,1295920,The Mortuary Assistant,DarkStone Digital,DarkStone Digital,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation']",n/a,$0.00 
19,1295940,The Mortuary Assistant Demo,DarkStone Digital,DarkStone Digital,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation']",n/a,$0.00 
20,1295960,WAKFU - Pack Dragon Turquoise,Ankama Studio,Ankama Games,n/a,"0 .. 20,000","['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",n/a,$12.99 
21,1295970,Stronghold: Warlords Demo,FireFly Studios,FireFly Studios,n/a,"0 .. 20,000","['Simulation', 'Strategy']",n/a,$0.00 
22,1295980,Café Rouge Demo,Sonya Fung,CloudNovel LLC,n/a,"0 .. 20,000",['Casual'],n/a,$0.00 
23,1295990,Adriatic Pizza,Samson Auroux,Samson Auroux,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation', 'Early Access']",n/a,$0.00 
24,1296000,Critters for Sale Demo,Sonoshee,Sonoshee,n/a,"0 .. 20,000","['Action', 'Adventure', 'Free to Play', 'Indie']",n/a,$0.00 
