,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,7,Steam Client,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
1,8,winui2,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
2,10,Counter-Strike,Valve,Valve,88%,"10,000,000 .. 20,000,000",['Action'],"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Old School', 'Military', 'Strategy', 'Survival', 'Score Attack', '1980s', 'Assassin', 'Violent']",$9.99 
3,20,Team Fortress Classic,Valve,Valve,n/a,"2,000,000 .. 5,000,000",['Action'],"['Action', 'FPS', 'Multiplayer', 'Classic', 'Hero Shooter', 'Shooter', 'Team-Based', 'Class-Based', 'First-Person', ""1990's"", 'Old School', 'Co-op', 'Competitive', 'Fast-Paced', 'Retro', 'Online Co-Op', 'Violent', 'Mod', 'Remake', 'Funny']",$4.99 
4,30,Day of Defeat,Valve,Valve,79%,"5,000,000 .. 10,000,000",['Action'],"['FPS', 'World War II', 'Multiplayer', 'Shooter', 'Action', 'War', 'Team-Based', 'Classic', 'First-Person', 'Class-Based', 'Military', 'Historical', 'Tactical', 'Co-op', 'Singleplayer', 'Difficult', 'World War I', 'Strategy', 'Retro', 'Old School']",$4.99 
5,40,Deathmatch Classic,Valve,Valve,n/a,"5,000,000 .. 10,000,000",['Action'],"['Action', 'FPS', 'Classic', 'Multiplayer', 'Shooter', 'First-Person', 'Arena Shooter', 'Sci-fi', 'Old School', 'Competitive', 'Co-op', 'Fast-Paced', 'Retro', 'Gore', 'Difficult', ""1990's""]",$4.99 
6,50,Half-Life: Opposing Force,Gearbox Software,Valve,n/a,"5,000,000 .. 10,000,000",['Action'],"['FPS', 'Action', 'Classic', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', 'Aliens', ""1990's"", 'Adventure', 'Atmospheric', 'Military', 'Story Rich', 'Silent Protagonist', 'Great Soundtrack', 'Gore', 'Co-op', 'Puzzle', 'Moddable', 'Retro']",$4.99 
7,60,Ricochet,Valve,Valve,n/a,"5,000,000 .. 10,000,000",['Action'],"['Action', 'FPS', 'Multiplayer', 'Classic', 'First-Person', 'Sci-fi', 'Shooter', 'Cyberpunk', 'Space', 'Memes', 'Conspiracy', 'Psychological Horror', 'Platformer', '3D', 'Old School', 'Retro', 'Cult Classic', 'Competitive', 'Anime', 'Sports']",$4.99 
8,70,Half-Life,Valve,Valve,96%,"5,000,000 .. 10,000,000",['Action'],"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', ""1990's"", 'Aliens', 'Multiplayer', 'Story Rich', 'Adventure', 'Silent Protagonist', 'Atmospheric', 'Great Soundtrack', 'Moddable', 'Retro', 'Linear', 'Difficult', 'Gore']",$9.99 
9,80,Counter-Strike: Condition Zero,Valve,Valve,65%,"5,000,000 .. 10,000,000",['Action'],"['Action', 'FPS', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Singleplayer', 'Tactical', 'Team-Based', 'Competitive', 'Strategy', 'Online Co-Op', 'Military', 'Adventure', 'Survival', 'Atmospheric', 'Open World', 'Simulation', 'Dark', 'Old School']",$9.99 
10,90,Half-Life Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
11,92,Codename Gordon,Nuclear Vision,Valve,n/a,"0 .. 20,000",['Indie'],n/a,$0.00 
12,100,Counter-Strike: Condition Zero,Valve,Valve,65%,"10,000,000 .. 20,000,000",['Action'],"['Action', 'FPS', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Singleplayer', 'Tactical', 'Team-Based', 'Competitive', 'Strategy', 'Online Co-Op', 'Military', 'Masterpiece', 'Adventure', 'Survival', 'Atmospheric', 'Open World', 'Dark', 'Simulation']",$9.99 
13,130,Half-Life: Blue Shift,Gearbox Software,Valve,71%,"5,000,000 .. 10,000,000",['Action'],"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Classic', 'Zombies', 'Adventure', ""1990's"", 'Short', 'Atmospheric', 'Silent Protagonist', 'Story Rich', 'Puzzle', 'Moddable', 'Great Soundtrack', 'Retro', 'Gore']",$4.99 
14,150,Counter-Strike Beta,,,n/a,"0 .. 20,000",['Action'],n/a,$0.00 
15,205,Source Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
16,210,Source Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
17,211,Source SDK,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
18,215,Source SDK Base 2006,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
19,218,Source SDK Base 2007,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
20,219,Half-Life 2: Demo,Valve,Valve,96%,"0 .. 20,000",['Action'],"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Masterpiece', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian ', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Puzzle', 'Multiplayer', 'Horror']",$0.00 
21,220,Half-Life 2,Valve,Valve,96%,"10,000,000 .. 20,000,000",['Action'],"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian ', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Puzzle', 'Horror', 'Multiplayer', 'Moddable']",$9.99 
22,240,Counter-Strike: Source,Valve,Valve,88%,"10,000,000 .. 20,000,000",['Action'],"['Shooter', 'Action', 'FPS', 'Multiplayer', 'Team-Based', 'First-Person', 'Tactical', 'Competitive', 'PvP', 'e-sports', 'Military', 'War', 'Strategy', 'Moddable', 'Difficult', 'Singleplayer', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']",$9.99 
23,260,Counter-Strike: Source Beta,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
24,280,Half-Life: Source,Valve,Valve,n/a,"2,000,000 .. 5,000,000",['Action'],"['FPS', 'Action', 'Classic', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', 'Aliens', ""1990's"", 'Zombies', 'Story Rich', 'Adventure', 'Remake', 'Atmospheric', 'Silent Protagonist', 'Horror', 'Multiplayer', 'Moddable', 'Great Soundtrack', 'Gore']",$9.99 
