,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,383140,Glorkian Warrior OST,Pixeljam,,n/a,"0 .. 20,000",['Indie'],['Indie'],$3.99 
1,383150,Dead Island Definitive Edition,Techland,Deep Silver,n/a,"500,000 .. 1,000,000",['Action'],"['Zombies', 'Survival', 'Co-op', 'Open World', 'Multiplayer', 'Action', 'Gore', 'Horror', 'First-Person', 'FPS', 'Online Co-Op', 'Crafting', 'RPG', 'Singleplayer', 'Survival Horror', 'Adventure', 'Violent', 'Nudity', 'Controller', 'Female Protagonist']",$19.99 
2,383180,Dead Island: Riptide Definitive Edition,Techland,Deep Silver,n/a,"100,000 .. 200,000",['Action'],"['Zombies', 'Co-op', 'Action', 'Open World', 'Multiplayer', 'Survival', 'Gore', 'First-Person', 'Horror', 'Adventure', 'Crafting', 'FPS', 'Singleplayer', 'Online Co-Op', 'Open World Survival Craft', 'Survival Horror', 'Female Protagonist', 'RPG']",$19.99 
3,383190,SUMICO - The Numbers Game,Ludomotion,Ludomotion,n/a,"0 .. 20,000","['Casual', 'Indie']","['Indie', 'Casual', 'Puzzle']",$4.99 
4,383230,Dungeon Souls,Lamina Studios,Black Shell Media,67%,"200,000 .. 500,000","['Action', 'Adventure', 'Indie', 'RPG', 'in Early Access']","['RPG', 'Action Roguelike', 'Pixel Graphics', 'Dungeon Crawler', 'Indie', 'Action', 'Rogue-like', 'Rogue-lite', 'Adventure', 'Hack and Slash', '2D', 'Procedural Generation', 'Singleplayer', 'Perma Death', 'Bullet Hell', 'Top-Down', 'Loot', 'Early Access', 'Multiplayer', 'Local Co-Op']",$12.99 
5,383240,Angels That Kill - The Final Cut,Rising Sun Interactive,Rising Sun Interactive,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']","['Adventure', 'Indie', 'Casual', 'Noir', 'Crime', 'Choices Matter', 'Multiple Endings', 'Dark', 'Horror']",$4.99 
6,383250,Don'Yoku OST,Dark-Spot Studio,,n/a,"0 .. 20,000","['Action', 'Indie']",n/a,$4.99 
7,383270,Hue,Fiddlesticks Games,Curve Digital,79%,"100,000 .. 200,000","['Adventure', 'Indie']","['Indie', 'Adventure', 'Puzzle', 'Platformer', 'Great Soundtrack', 'Puzzle-Platformer', 'Colorful', '2D', 'Narration', 'Singleplayer', 'Metroidvania']",$14.99 
8,383320,Transcendence - Eternity Port Expansion,Kronosaur Productions,Kronosaur Productions,n/a,"0 .. 20,000","['Action', 'Indie', 'RPG']","['Action', 'Indie', 'RPG']",$0.00 
9,383330,Star Chronicles: Delta Quadrant,Alister Software,Back To Basics Gaming,n/a,"50,000 .. 100,000","['Indie', 'Strategy']","['Indie', 'Strategy', 'Rogue-like']",$0.99 
10,383370,Wind of Luck: Arena - Asian Admiral pack,Trazzy Entertainment,Trazzy Entertainment,n/a,"0 .. 20,000","['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Simulation']","['Action', 'Massively Multiplayer', 'Simulation', 'Indie', 'Free to Play', 'War', 'Shooter', 'FPS', 'Open World', 'Medieval']",$0.00 
11,383380,Cosmonautica - Soundtrack,Chasing Carrots,Chasing Carrots,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation', 'Strategy']","['Strategy', 'Simulation', 'Indie', 'Adventure']",$0.00 
12,383400,WAKFU - Steel Beak Pack,Ankama Studio,,n/a,"0 .. 20,000","['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']","['Massively Multiplayer', 'RPG', 'Strategy', 'Free to Play', 'Adventure']",$19.99 
13,383410,Codename CURE Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
14,383430,The Black Watchmen Demo,Alice & Smith,Alice & Smith,n/a,"0 .. 20,000","['Indie', 'Massively Multiplayer', 'RPG']","['Massively Multiplayer', 'RPG', 'Indie', 'Puzzle', 'Horror', 'Illuminati']",$0.00 
15,383450,Battle of Empires : 1914-1918 - British Empire,Great War Team,Best Way Soft,n/a,"0 .. 20,000","['Action', 'Indie', 'Strategy']","['Strategy', 'Indie', 'Action']",$4.99 
16,383460,Sound of Drop - fall into poison -,aiueoKompany,Sekai Project,n/a,"50,000 .. 100,000","['Adventure', 'Indie']","['Visual Novel', 'Anime', 'Horror', 'Gore', 'Indie', 'Violent', 'Female Protagonist', 'Adventure', 'Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Psychological Horror', 'Mystery', 'Story Rich', 'Choices Matter']",$12.99 
17,383470,Sound of Drop - fall into poison - Demo,aiueoKompany,Sekai Project,n/a,"0 .. 20,000","['Violent', 'Gore', 'Adventure', 'Indie']","['Adventure', 'Indie', 'Gore', 'Violent', 'Visual Novel', 'Horror']",$0.00 
18,383510,Grand Designer Pro,Ignishot,,n/a,"0 .. 20,000","['Animation & Modeling', 'Design & Illustration']","['Design & Illustration', 'Animation & Modeling']",$29.99 
19,383520,Lilly and Sasha: Guardian Angels,John Wizard,John Wizard,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']","['RPG', 'Indie', 'Strategy', 'RPGMaker']",$0.00 
