,App Id,Name,Developers,Publishers,Metascores,Owners,Genres,Tags,Price
0,1022720,while True: learn() Art Pack,Luden.io,,n/a,"0 .. 20,000","['Indie', 'Simulation']",n/a,$2.99 
1,1022770,Beyond Enemy Lines: Operation Arctic Hawk,Polygon Art,Polygon Art,n/a,"0 .. 20,000","['Action', 'Indie']","['Indie', 'Action', 'Singleplayer', 'FPS', 'Tactical', 'Difficult', 'Cold War', 'First-Person', 'Atmospheric', 'War', 'Wargame']",$4.99 
2,1022780,Animal Fight Club,Marco Amadei,Corvostudio di Amadei Marco,n/a,"20,000 .. 50,000","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']","['Strategy', 'Indie', 'Action', 'Adventure', 'Massively Multiplayer', 'Simulation']",$3.99 
3,1022790,Market Dominion - Global Rivalry,Iguana Mercenary,,n/a,"0 .. 20,000","['Casual', 'Indie', 'Simulation', 'Strategy']",n/a,$0.00 
4,1022820,STEELPAW,DAIRYDOG,DAIRYDOG,n/a,"0 .. 20,000","['Action', 'Early Access']","['Action', 'Early Access']",$7.99 
5,1022830,Steel Division 2 - Back To War Pack,Eugen Systems,Eugen Systems,n/a,"0 .. 20,000","['Indie', 'Strategy']","['Indie', 'Strategy']",$0.00 
6,1022840,The Adventures of Jason and the Argonauts,PixQuake,HH-Games,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Strategy']","['Indie', 'Action', 'Casual', 'Strategy', 'Match 3', 'Mouse only']",$4.99 
7,1022850,Dark Deception Complete,Glowstick Entertainment,Glowstick Entertainment,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'RPG']","['Action', 'RPG', 'Adventure', 'Indie', 'Horror']",$19.99 
8,1022860,Tuber`s Run,SOLOABLE GAMES,SOLOABLE GAMES,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']",n/a,$2.99 
9,1022870,Luminos,dev4play,dev4play,n/a,"0 .. 20,000","['Casual', 'Indie']","['Indie', 'Casual']",$0.00 
10,1022910,Offworld Trading Company: The Europa Wager Expansion,Mohawk Games,Stardock Entertainment,n/a,"0 .. 20,000","['Indie', 'Simulation', 'Strategy']",n/a,$0.00 
11,1022920,Two Clusters: Kain,Two Clusters,Two Clusters,n/a,"0 .. 20,000","['Free to Play', 'Indie', 'RPG', 'in Early Access']","['Free to Play', 'Indie', 'Nudity', 'RPG', 'Sci-fi']",$0.00 
12,1022950,Hex Defense - VR Demo,Sachonski,Patagoniart,n/a,"0 .. 20,000","['Action', 'Casual', 'Free to Play', 'Simulation', 'Strategy']","['Casual', 'Action', 'Strategy', 'Simulation', 'VR', 'Tower Defense', 'Board Game', 'Singleplayer', 'Fast-Paced', 'Procedural Generation', 'Real Time Tactics', 'Management', 'Real-Time', 'Realistic', 'Hex Grid', 'Replay Value', 'Resource Management', 'Sci-fi', 'Military', 'War']",$0.00 
13,1022980,Ostranauts,Blue Bottle Games,Modern Wolf,n/a,"20,000 .. 50,000","['Indie', 'RPG', 'Simulation', 'Early Access']","['Early Access', 'Immersive Sim', 'Space', 'Management', 'Exploration', 'Survival', 'Colony Sim', 'Open World Survival Craft', 'Base-Building', 'Open World', 'Space Sim', 'Building', 'Character Customization', 'RPG', 'Strategy', '2D', 'Lore-Rich', 'Procedural Generation', 'Pixel Graphics', 'Simulation']",$19.99 
14,1022990,Dement,Paracytik Entertainment,Paracytik Entertainment,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Early Access']","['Action', 'Indie', 'Adventure', 'Violent', 'Gore', 'VR', 'Early Access', 'Survival Horror', 'Horror']",$39.99 
15,1023010,Escargot,Sean Moulder,Sean Moulder,n/a,"0 .. 20,000",['Indie'],['Indie'],$9.99 
16,1023030,Blood Moon,Sproubbit Studio,Sproubbit Studio,n/a,"0 .. 20,000","['Adventure', 'Indie', 'RPG', 'in Early Access']","['Adventure', 'Indie', '2D', 'Female Protagonist', 'Simulation', 'Puzzle', '2D Platformer', 'Colorful', 'Mystery', 'Atmospheric', 'Psychological Horror', 'Fantasy', 'Choices Matter', 'Singleplayer', 'RPGMaker', 'RPG', 'Sexual Content', 'Retro']",$4.99 
17,1023040,Hockey Camp - Goaltender,FlagmanJeremy,FlagmanJeremy,n/a,"0 .. 20,000","['Indie', 'Simulation', 'Sports']","['Sports', 'Simulation', 'Indie']",$0.99 
18,1023060,Yet Another Survival Game,RewindApp,RewindApp,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'in Early Access']","['Indie', 'Casual', 'Adventure', 'Action', 'Racing', 'Survival', 'Arcade', 'Short', 'Singleplayer', 'Relaxing']",$0.49 
19,1023080,Dashing Dinosaurs & Sexy Centaurs OST,Stegalosaurus Game Development,,n/a,"0 .. 20,000",['Indie'],n/a,$2.99 
20,1023090,Super Agent: Drunk Kent,Race Kippe,Race Kippe,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie']","['Action', 'Indie', 'Adventure', 'Casual', 'Platformer', 'Physics', 'Singleplayer', '2D', 'Dark Humor', 'Great Soundtrack', 'Retro', ""1990's"", 'Comedy', 'Funny', 'Side Scroller', 'Cartoony', 'Difficult', 'Action-Adventure', 'Colorful', 'Parkour']",$6.99 
21,1023100,VCuber,MishiCat,MishiCat,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie', 'Early Access']","['Action', 'Early Access', 'Indie', 'Casual']",$4.99 
22,1023110,Seven Red Lines,T.I.E. apps,T.I.E. apps,n/a,"0 .. 20,000","['Casual', 'Indie']","['Casual', 'Indie']",$2.99 
23,1023130,Defection,Sergey Saratov,Sergey Saratov,n/a,"0 .. 20,000","['Action', 'Indie', 'Early Access']","['Action', 'Early Access', 'Indie']",$3.99 
24,1023140,Artificiality-人造物-,悠乙,林檎树,n/a,"0 .. 20,000","['Adventure', 'Indie', 'RPG']",n/a,$0.00 
25,1023150,Cyborg Invasion Shooter 3: Savior Of The World,Tero Lunkka,Tero Lunkka,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Action', 'Indie', 'Adventure']",$0.50 
26,1023160,Praey for the Gods Soundtrack,No Matter Studios,No Matter Studios,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'RPG']","['Action', 'RPG', 'Adventure', 'Indie']",$8.49 
27,1023170,Bios Ex Demo,Gogen-Soft,Gogen-Soft,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']",n/a,$0.00 
28,1023180,Combat Overrun,Assassins Corp,Assassins Corp,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Racing', 'Early Access']",n/a,$19.99 
29,1023260,Yuki's Tale,Male Doll,Male Doll,n/a,"0 .. 20,000","['Adventure', 'RPG']",n/a,$5.99 
30,1023270,Hentai Jigsaw Puzzle - Artwork & OST,NAISU,NAISU,n/a,"0 .. 20,000","['Casual', 'Indie', 'Simulation']",n/a,$0.00 
31,1023280,Solitaire Bliss Collection,Mongoose Net Ltd.,Mongoose Net Ltd.,n/a,"0 .. 20,000",['Casual'],"['Casual', 'Card Game', 'Solitaire']",$24.99 
32,1023310,Logical Now!,Thomas Scholl,virtuell werk,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie']","['Action', 'Casual', 'Indie', 'Adventure', 'Puzzle', 'Retro', 'Arcade', 'Classic']",$4.99 
33,1023320,Clown Thug Cop Zombies,TWOODY PRODUCTIONS,TWOODY PRODUCTIONS,n/a,"0 .. 20,000","['Action', 'Free to Play', 'Indie']","['Free to Play', 'Action', 'Indie', 'Violent', 'Zombies']",$0.00 
34,1023330,Solitaire: Learn the Flags - US States Book,RTWS,RTWS,n/a,"0 .. 20,000",['Casual'],n/a,$0.00 
35,1023340,Radiant Ascent VR,More Pockets,,n/a,"0 .. 20,000","['Design & Illustration', 'Education', 'Early Access']","['Education', 'Early Access', 'Design & Illustration']",$0.00 
36,1023370,Hentai Super Girl,Super Girl Game Studio,Super Girl Game Studio,n/a,"0 .. 20,000","['Casual', 'Simulation']",n/a,$0.99 
37,1023390,People,Revmatek,Revmatek,n/a,"0 .. 20,000","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']","['Casual', 'Strategy', 'Action', 'Indie', 'Simulation', 'Adventure']",$14.99 
38,1023400,Neon Infinity Soundtrack,Halcyon Day Digital Co,Halcyon Day Digital Co,n/a,"0 .. 20,000","['Action', 'Indie']",n/a,$0.00 
39,1023410,3 GEEKS,Romuald Serrado,Adipson Studio,n/a,"0 .. 20,000",['Adventure'],"['Adventure', 'Indie', 'Post-apocalyptic', 'Funny', 'Point & Click', '2D', 'Mouse only']",$9.99 
40,1023420,四国志でらっくす ～酒池肉うどん戦記～,Flying Panjandrum / ふらいんぐパンジャンドラム,Flying Panjandrum / ふらいんぐパンジャンドラム,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation', 'Strategy']","['Adventure', 'Simulation', 'Indie', 'Strategy', 'Anime', 'Turn-Based']",$24.99 
41,1023430,3 GEEKS Demo,Romuald Serrado,Adipson Studio,n/a,"0 .. 20,000",['Adventure'],n/a,$0.00 
42,1023510,Matanga,Volokitin Andrey, Volokitin Andrey,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'in Early Access']","['Indie', 'Adventure', 'Action', 'Horror', 'Psychological Horror', 'Detective', 'Survival', 'Investigation']",$4.99 
43,1023540,Fantasy Grounds - Hellfrost: The Blood Tide (Savage Worlds),"SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$4.99 
44,1023550,Rogue Star Rescue,Chute Apps,Chute Apps,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']","['Early Access', 'Shooter', 'Online Co-Op', 'Bullet Hell', 'Tower Defense', 'Rogue-lite', 'Local Co-Op', 'Top-Down Shooter', 'Multiple Endings', 'Strategy', 'Indie', 'Twin Stick Shooter', 'Pixel Graphics', 'Retro', 'Co-op', 'Funny', 'Action', 'Nonlinear', 'Adventure', 'Multiplayer']",$9.89 
45,1023560,Cornflake Crisis,Mike Laraman,Mike Laraman,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Indie', 'Action', 'Adventure']",$8.99 
46,1023570,PUZZLE: ANIMALS,AFBIK Studio,AFBIK Studio,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Free to Play', 'Indie']","['Indie', 'Casual', 'Adventure', 'Free to Play']",$0.99 
47,1023580,"Fantasy Grounds - Strange Supernaturals, Volume 12 (Token Pack)","SmiteWorks USA, LLC",,n/a,"0 .. 20,000","['Indie', 'RPG', 'Strategy']",n/a,$9.99 
48,1023610,Royale Storm Bowling,Flick Mania Games,Angels And Demons,n/a,"0 .. 20,000",['Indie'],['Indie'],$0.49 
49,1023620,PlayerVs Dedicated Server,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
50,1023640,Sweet Galaxy Adventure!,Tofubeef,Touwaku Studio,n/a,"0 .. 20,000","['Adventure', 'Simulation']","['Adventure', 'Simulation', 'Sexual Content', 'Visual Novel', 'Anime']",$7.99 
51,1023650,Gun Man,kessels game studio,kessels game studio,n/a,"0 .. 20,000","['Action', 'in Early Access']","['Action', 'Platformer', 'Puzzle-Platformer']",$0.99 
52,1023660,Welcome To... Chichester : Katherine's Game Script,Triority,Triority,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie']",n/a,$0.99 
53,1023670,The Wilting Amaranth - Mature Content,Reine Works,Top Hat Studios Inc,n/a,"0 .. 20,000",['Casual'],n/a,$0.00 
54,1023680,Brass Town Wrestling,Empty Teapot,Empty Teapot,n/a,"0 .. 20,000","['RPG', 'Simulation', 'Sports']","['RPG', 'Sports', 'Simulation', 'Wrestling', 'Open World', 'RPGMaker', 'Indie', 'JRPG']",$11.99 
55,1023690,Nurse Love Syndrome,KOGADO STUDIO,Degica,n/a,"0 .. 20,000",['Adventure'],"['Adventure', 'Sexual Content', 'LGBTQ+', 'Visual Novel', 'Female Protagonist', 'Anime', 'Nudity', 'Romance', 'Singleplayer', 'Multiple Endings', 'Cute', 'Story Rich', '2D']",$39.99 
56,1023700,Palais de Reine,KOGADO STUDIO,Degica,n/a,"0 .. 20,000",['Adventure'],"['Visual Novel', 'Romance', 'Grand Strategy', 'Diplomacy', 'Adventure', 'Medieval', 'Dating Sim', 'Time Management', 'Hand-drawn', 'Fantasy', 'Anime', 'Political', 'Colorful', 'Management', 'Tactical', 'Emotional', 'Choices Matter', 'Multiple Endings', 'Resource Management', 'Singleplayer']",$23.99 
57,1023710,KameaVR,James Emley,Rocker Science,n/a,"0 .. 20,000",['Education'],"['Education', 'VR']",$7.99 
58,1023720,Hidden Mysteries: Royal Family Secrets,Gunnar Games,Gunnar Games,n/a,"0 .. 20,000",['Adventure'],"['Adventure', 'Puzzle', 'Hidden Object', 'Singleplayer', 'Story Rich', 'Point & Click']",$7.99 
59,1023740,7 Sexy Sins,Zai Studio,Zai Studio,n/a,"0 .. 20,000","['Action', 'Casual', 'Indie']","['Nudity', 'Action', 'Casual', 'Indie', 'Sexual Content', 'Mature', 'Anime', 'Bullet Hell', ""Shoot 'Em Up""]",$1.99 
60,1023750,INVITATION,XIV STUDIO,XIV STUDIO,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Gore', 'Indie', 'Violent', 'Adventure', 'Action', 'Survival Horror', 'Horror', 'Psychological Horror', 'Psychological', 'Survival']",$12.99 
61,1023760,Creation and Conquest：The Future War,Noelone,Noelone,n/a,"0 .. 20,000","['Indie', 'Simulation', 'Strategy', 'Early Access']","['Early Access', 'Strategy', 'Indie', 'Simulation']",$9.99 
62,1023770,PROTO DERE .NES (NES ROM),Darius Immanuel D. Guerrero,AppSir,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie', 'Simulation']","['Simulation', 'Action', 'Indie', 'Adventure']",$0.00 
63,1023780,MUSYNX - HOUSE THEME,I-Inferno,Zodiac Interactive,n/a,"0 .. 20,000","['Indie', 'Simulation']","['Simulation', 'Indie']",$6.99 
64,1023790,Rick Henderson,Fat Pug Studio,Fat Pug Studio,n/a,"0 .. 20,000","['Action', 'Indie', 'Early Access']",n/a,$0.00 
65,1023801,FIGHTING EX LAYER - Color Gold/Silver: Terry,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],n/a,$4.99 
66,1023802,FIGHTING EX LAYER - Character: Terry,ARIKA,ARIKA,n/a,"0 .. 20,000",['Action'],['Action'],$4.99 
67,1023810,"The Princess, the Stray Cat, and Matters of the Heart Demo",TOKYOTOON,TOKYOTOON,n/a,"0 .. 20,000","['Adventure', 'Casual']","['Sexual Content', 'Visual Novel', 'Nudity', 'Casual', 'Adventure', 'Anime']",$0.00 
68,1023820,The Devil's Calculator Demo,Christopher Cinq-Mars Jarvis,Cinq-Mars Media,n/a,"0 .. 20,000","['Casual', 'Indie', 'Strategy']",n/a,$0.00 
69,1023830,The Coin Game Demo,devotid,devotid Media,n/a,"0 .. 20,000","['Adventure', 'Casual', 'Indie', 'Simulation']","['Early Access', 'Simulation', 'Casual', 'Adventure', 'Indie', 'Arcade', 'Open World', 'First-Person']",$0.00 
70,1023860,GORSD,Springloaded,Springloaded,n/a,"20,000 .. 50,000","['Action', 'Adventure', 'Indie']","['Top-Down Shooter', 'Local Multiplayer', 'Action', 'Exploration', 'Mystery', 'Singleplayer', 'PvP', 'Surreal', 'Dark', 'Pixel Graphics', 'Dark Humor', 'Abstract', 'Psychedelic', 'Psychological', 'Adventure', '2D', 'Horror', 'Retro', 'Multiplayer', '4 Player Local']",$16.99 
71,1023870,Northern Lights,DimleTeam,DimleTeam,n/a,"0 .. 20,000","['Action', 'Adventure', 'Indie']","['Action', 'Indie', 'Adventure', 'Puzzle', 'Sci-fi', 'Walking Simulator', 'Singleplayer', 'Dark', 'Psychological Horror', 'Dystopian ', 'Mystery', 'Atmospheric', 'Short', 'Stealth', '2.5D', 'Story Rich', 'Puzzle-Platformer', 'Horror', 'Exploration', 'Platformer']",$1.99 
72,1023920,Rainswept - Original Soundtrack,Frostwood Interactive,Frostwood Interactive,n/a,"0 .. 20,000","['Adventure', 'Indie']",n/a,$0.00 
73,1023930,Warface – Headstart Pack,My.com,My.com,n/a,"0 .. 20,000","['Action', 'Free to Play', 'Massively Multiplayer']","['Massively Multiplayer', 'Free to Play', 'Action']",$1.99 
74,1023940,VR-CPR Personal Edition,Studio Evil,Studio Evil,n/a,"0 .. 20,000","['Education', 'Software Training']","['Education', 'Software Training', 'VR']",$119.99 
75,1023960,Easter!,FG,FG,n/a,"0 .. 20,000","['Adventure', 'Indie', 'Simulation']","['Indie', 'Adventure', 'Simulation']",$0.99 
76,1023970,Gun Gun Pixies,Idea Factory,PQube Limited,n/a,"0 .. 20,000",['Action'],n/a,$49.99 
77,1023980,V.L.A.D.i.K,Narko Games,Narko Games,n/a,"0 .. 20,000","['Action', 'Adventure', 'RPG', 'Early Access']","['Action', 'Violent', 'Gore', 'RPG', 'Early Access', 'Adventure', 'Comedy', 'Indie', 'Psychological Horror', 'Horror', 'Mature', 'Atmospheric', 'Survival', 'Difficult', 'Survival Horror', 'Sports', 'Casual', 'Open World']",$6.99 
78,1023990,Mission Evilguy SDK,,,n/a,"0 .. 20,000",[''],n/a,$0.00 
79,1024010,Ultimate Fishing Simulator VR,Bit Golem,Ultimate Games S.A.,n/a,"0 .. 20,000","['Casual', 'Indie', 'Simulation', 'Sports']","['Fishing', 'Simulation', 'Multiplayer', 'Sports', 'Co-op', 'Relaxing', 'Realistic', 'First-Person', 'Massively Multiplayer', 'Open World', 'Early Access', 'Singleplayer', 'Family Friendly', 'Online Co-Op', 'Casual', 'Adventure']",$11.39 
80,1024040,Spot Race: Donation DLC,Space Fractal,,n/a,"0 .. 20,000","['Casual', 'Indie', 'Strategy']",n/a,$0.00 
81,1024050,Business tour. Piggybank of gold,Creobit,8Floor ,n/a,"0 .. 20,000","['Casual', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']",n/a,$3.99 
82,1024070,Ribbon Racer Next,Tehawar,Tehawar,n/a,"0 .. 20,000",['Racing'],n/a,$4.99 
