record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
461,337340,Finding Paradise,Freebird Games,Freebird Games,0.81,200000,"['Adventure', 'Indie', 'RPG']"
466,34030,Total War: NAPOLEON â€“ Definitive Edition,CREATIVE ASSEMBLY,SEGA,0.81,1000000,['Strategy']
507,367500,Dragon's Dogma: Dark Arisen,Capcom,Capcom,0.81,1000000,"['Action', 'Adventure', 'RPG']"
537,383870,Firewatch,Campo Santo,Panic,0.81,1000000,"['Adventure', 'Indie']"
574,397540,Borderlands 3,Gearbox Software,2K,0.81,1000000,"['Action', 'RPG']"
601,415200,Motorsport Manager,Playsport Games,SEGA,0.81,500000,"['Racing', 'Simulation', 'Sports', 'Strategy']"
607,418460,Rising Storm 2: Vietnam,Antimatter Games,Tripwire Interactive,0.81,1000000,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy']"
617,424840,Little Nightmares,Tarsier Studios,BANDAI NAMCO Entertainment,0.81,500000,['Adventure']
619,42700,Call of Duty: Black Ops,Treyarch,Activision,0.81,2000000,['Action']
630,433340,Slime Rancher,Monomi Park,Monomi Park,0.81,1000000,"['Action', 'Adventure', 'Indie', 'Simulation', 'in Early Access']"
656,448510,Overcooked,Ghost Town Games Ltd.,Team17 Digital Ltd,0.81,1000000,"['Action', 'Casual', 'Indie', 'Simulation']"
744,536220,The Walking Dead: A New Frontier,Telltale Games,Skybound Games,0.81,200000,['Adventure']
759,552990,World of Warships,Wargaming Group Limited,Wargaming Group Limited,0.81,10000000000,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation', 'in Early Access']"
765,557340,My Friend Pedro,DeadToast Entertainment,Devolver Digital,0.81,200000,"['Action', 'Indie']"
792,594650,Hunt: Showdown,Crytek,Crytek,0.81,2000000,"['Action', 'in Early Access']"
799,6020,STAR WARS Jedi Knight - Jedi Academy,Raven Software,LucasArts,0.81,1000000,['Action']
820,629760,MORDHAU,Triternion,Triternion,0.81,2000000,"['Action', 'Indie']"
848,65800,Dungeon Defenders,Trendy Entertainment,Trendy Entertainment,0.81,1000000,"['Action', 'Indie', 'RPG', 'Strategy']"
850,65980,Sid Meier's Civilization: Beyond Earth,Firaxis Games,2K,0.81,1000000,['Strategy']
872,70300,VVVVVV,Terry Cavanagh,Terry Cavanagh,0.81,500000,"['Action', 'Indie']"
873,703080,Planet Zoo,Frontier Developments,Frontier Developments,0.81,500000,"['Casual', 'Simulation', 'Strategy']"
882,728880,Overcooked! 2,Ghost Town Games Ltd.,Team17 Digital Ltd,0.81,1000000,"['Action', 'Casual', 'Indie']"
898,752590,A Plague Tale: Innocence,Asobo Studio,Focus Home Interactive,0.81,500000,"['Action', 'Adventure']"
958,8980,Borderlands Game of the Year,Gearbox Software,2K,0.81,1000000,"['Action', 'RPG']"
966,9420,Supreme Commander: Forged Alliance,Gas Powered Games,Square Enix,0.81,500000,['Strategy']
969,94400,Nidhogg,Messhof,Messhof,0.81,500000,"['Action', 'Indie', 'Sports']"
